exposure,n_final,mean_F,min_F,max_F
Beef intake,12,38.3,29.9,60.0
Cooked vegetable intake,14,36.6,30.0,55.0
Dried fruit intake,38,41.3,29.7,81.2
Fresh fruit intake,43,46.6,29.8,239.9
Lamb/mutton intake,24,39.3,30.0,94.2
Oily fish intake,52,43.9,29.9,105.5
Pork intake,11,37.1,30.0,55.3
Processed meat intake,18,34.7,29.9,47.2
Salad/raw vegetable intake,15,37.5,30.0,63.8
Tea intake,37,51.1,30.0,341.3
